id,entity,specialty,lat,lon,state,county,city,effectiveness,efficiency,location_confidence,total_claims_volume,medicare_claims_volume,total_claims_amount,medicare_total_claims_amount,new_patient_claims
108,Spectrum Health 2,cardiology,42.377178,-82.190375,mi,wayne,Wayne,1,5,0.71,354,98,98763.18,137817.98,9
109,Spectrum Health 2,cardiology,42.576994,-84.666576,mi,kalamazoo,Kalamazoo,1,2,0.59,449,40,218018.44,21972.6,0
110,Spectrum Health 2,cardiology,42.168784,-83.994108,mi,wayne,Wayne,3,5,0.8,127,25,443261.17,49475.56,8
111,Spectrum Health 2,cardiology,42.089609,-82.375635,mi,kalamazoo,Kalamazoo,5,2,0.95,217,53,126066.57,157202.48,49
112,Spectrum Health 2,cardiology,42.105758,-81.478387,mi,wayne,Wayne,2,1,0.55,173,187,297438.15,37762.77,34
113,Spectrum Health 2,cardiology,42.096884,-82.669693,mi,wayne,Wayne,1,5,0.82,485,164,322600.79,55092.35,12
114,Henry Ford Health 2,obstetrics/gynecology,42.250047,-85.674297,mi,wayne,Wayne,3,2,0.71,176,173,349293.71,198294.92,45
115,Henry Ford Health 2,family medicine,41.902638,-81.781397,mi,wayne,Wayne,5,4,0.54,362,168,104014.99,68057.45,5
116,Henry Ford Health 2,obstetrics/gynecology,41.996635,-80.230081,mi,wayne,Wayne,4,5,0.53,169,153,142862.24,120598.34,2
117,Henry Ford Health 2,obstetrics/gynecology,42.463024,-85.557054,mi,oakland,Oakland,2,4,0.83,218,39,368018.75,95715.09,7
118,Henry Ford Health 2,psychiatry,42.583749,-83.135992,mi,oakland,Oakland,5,1,0.59,115,194,217117.67,165252.26,11
119,Henry Ford Health 2,family medicine,41.799664,-84.098946,mi,wayne,Wayne,4,3,0.58,14,108,386613.9,52513.06,29
120,Providence Health 2,family medicine,42.114513,-83.944591,mi,wayne,Wayne,1,5,0.91,47,146,67648.02,49334.67,44
121,Providence Health 2,family medicine,42.269532,-85.035973,mi,oakland,Oakland,1,1,0.75,332,184,147054.73,188765.47,17
122,Providence Health 2,family medicine,42.367352,-85.795761,mi,kalamazoo,Kalamazoo,4,5,0.7,21,53,67019.53,164402.69,34
123,Providence Health 2,family medicine,42.585266,-82.350609,mi,oakland,Oakland,4,1,0.66,172,70,85357.66,48604.81,13
124,Providence Health 2,family medicine,42.662884,-82.537953,mi,oakland,Oakland,1,5,0.93,173,99,248660.34,123219.32,45
125,Ascension Michigan 2,general practice,42.301553,-86.967754,mi,kalamazoo,Kalamazoo,1,5,0.68,401,153,22647.83,31357.43,3
126,Ascension Michigan 2,general practice,42.33628,-86.454286,mi,kalamazoo,Kalamazoo,4,2,0.64,456,138,10162.93,8449.12,1
127,Michigan Health & Hospital Corp 2,orthopedic surgery,41.953158,-85.693982,mi,wayne,Wayne,5,3,0.6,354,134,247454.78,152079.44,30
128,Michigan Health & Hospital Corp 2,orthopedic surgery,42.060226,-85.961473,mi,wayne,Wayne,1,3,0.54,165,194,140039.83,39664.45,15
129,Michigan Health & Hospital Corp 2,orthopedic surgery,42.378176,-81.32758,mi,wayne,Wayne,1,5,0.81,317,56,331304.6,170363.1,49
130,Michigan Health & Hospital Corp 2,orthopedic surgery,42.23512,-83.009383,mi,kalamazoo,Kalamazoo,5,3,0.68,101,18,96674.7,80480.36,4
131,Michigan Health & Hospital Corp 2,orthopedic surgery,42.064921,-83.934127,mi,wayne,Wayne,5,5,0.88,323,124,272301.96,46964.37,20
132,Michigan Health & Hospital Corp 2,orthopedic surgery,42.000884,-83.396408,mi,wayne,Wayne,4,3,0.73,317,187,83126.51,29803.95,33
133,Michigan Health & Hospital Corp 2,orthopedic surgery,42.259852,-85.207444,mi,wayne,Wayne,3,1,0.81,422,170,202272.92,191463.33,48
134,Trinity Health 2,internal medicine,42.321349,-85.031234,mi,wayne,Wayne,1,2,0.97,453,25,414314.78,101613.16,7
135,Priority Health 2,orthopedic surgery,42.191482,-82.150751,mi,wayne,Wayne,1,4,0.73,182,73,371342.55,104883.27,36
136,Priority Health 2,orthopedic surgery,42.268958,-81.508372,mi,wayne,Wayne,3,3,0.51,142,152,371379.1,73884.02,45
137,Priority Health 2,orthopedic surgery,41.988501,-86.017946,mi,wayne,Wayne,5,2,0.51,489,116,484251.42,62611.73,39
138,Priority Health 2,orthopedic surgery,41.936728,-81.098,mi,wayne,Wayne,2,3,0.56,391,72,389570.55,130561.33,49
139,Priority Health 2,orthopedic surgery,42.032847,-83.905759,mi,wayne,Wayne,3,2,0.8,190,164,376555.86,163295.11,33
140,Priority Health 2,orthopedic surgery,42.095257,-84.608815,mi,wayne,Wayne,2,1,0.69,324,82,225308.44,124523.22,21
141,Independence Blue Cross 2,psychiatry,42.347256,-85.249575,mi,kalamazoo,Kalamazoo,1,5,0.64,41,123,440841.64,55394.17,46
142,Independence Blue Cross 2,dermatology,42.425634,-86.220468,mi,kalamazoo,Kalamazoo,4,3,0.66,159,93,469320.15,13418.88,17
143,Independence Blue Cross 2,psychiatry,42.348374,-86.023496,mi,kalamazoo,Kalamazoo,2,3,0.58,53,26,275696.23,120117.8,2
144,Independence Blue Cross 2,dermatology,42.384826,-87.641144,mi,kalamazoo,Kalamazoo,4,1,0.88,120,140,236163.16,6819.67,0
145,Independence Blue Cross 2,psychiatry,42.38087,-84.487556,mi,kalamazoo,Kalamazoo,2,2,0.6,19,153,369204.94,125117.16,26
146,Careington Health 2,general practice,42.351938,-81.019879,mi,oakland,Oakland,1,4,0.76,243,94,421582.35,167372.69,13
147,Careington Health 2,general practice,42.282522,-84.909462,mi,oakland,Oakland,3,3,1.0,141,115,229819.21,145803.83,23
148,Careington Health 2,general practice,42.431279,-83.786576,mi,oakland,Oakland,5,5,0.51,439,8,98846.45,80596.35,16
149,UnitedHealth Community Plan 2,psychiatry,42.504357,-81.637029,mi,oakland,Oakland,5,2,0.78,397,124,305708.96,136911.25,17
150,UnitedHealth Community Plan 2,psychiatry,42.616754,-84.076779,mi,oakland,Oakland,3,5,0.87,323,121,396421.33,105867.47,47
151,MultiCare Health 2,family medicine,42.085231,-84.679064,mi,wayne,Wayne,1,2,0.69,122,51,499190.28,186957.1,44
152,MultiCare Health 2,family medicine,42.429271,-84.965035,mi,wayne,Wayne,3,4,0.69,146,94,298006.99,40972.87,9
153,MultiCare Health 2,family medicine,42.576761,-84.532996,mi,oakland,Oakland,5,1,0.96,60,151,137055.41,88783.08,4
154,MultiCare Health 2,family medicine,41.939969,-87.559326,mi,wayne,Wayne,5,2,0.97,365,74,319273.62,14719.2,38
155,MultiCare Health 2,family medicine,42.514986,-83.031058,mi,oakland,Oakland,4,1,0.58,325,112,76323.5,151518.14,23
156,MultiCare Health 2,family medicine,42.134977,-83.655511,mi,wayne,Wayne,4,3,0.64,279,124,487668.98,77385.38,30
157,MultiCare Health 2,family medicine,42.42797,-82.178871,mi,oakland,Oakland,1,5,0.93,116,88,313652.73,114588.61,20
158,Advance Health 2,cardiology,42.136364,-81.923932,mi,oakland,Oakland,2,3,0.98,152,180,469043.01,15190.29,43
159,Envision Healthcare 2,obstetrics/gynecology,42.23137,-81.468465,mi,wayne,Wayne,5,2,0.99,78,135,365326.31,42282.19,48
160,Envision Healthcare 2,obstetrics/gynecology,42.219964,-83.403462,mi,wayne,Wayne,4,1,0.59,170,182,362803.94,86508.04,6
161,Envision Healthcare 2,obstetrics/gynecology,42.2205,-80.477932,mi,wayne,Wayne,5,5,0.93,451,47,43157.5,143027.84,16
162,Envision Healthcare 2,obstetrics/gynecology,41.949319,-82.522661,mi,wayne,Wayne,2,1,0.71,14,6,335452.08,47137.64,9
163,Envision Healthcare 2,obstetrics/gynecology,41.79556,-84.864596,mi,wayne,Wayne,5,4,0.53,433,42,405137.77,94551.78,48
164,Envision Healthcare 2,obstetrics/gynecology,42.053105,-84.548788,mi,wayne,Wayne,4,2,0.67,375,120,264499.07,44951.85,20
165,Encompass Health 2,pediatrics,42.106228,-85.694786,mi,wayne,Wayne,2,4,0.89,456,70,41950.25,95466.62,7
166,LifePoint Health 2,endocrinology,42.339687,-84.044747,mi,wayne,Wayne,4,1,0.7,436,151,226125.36,43143.81,11
167,LifePoint Health 2,endocrinology,42.461369,-84.344182,mi,oakland,Oakland,4,5,0.82,64,141,204025.53,183442.56,39
168,LifePoint Health 2,obstetrics/gynecology,42.57271,-84.519535,mi,oakland,Oakland,2,3,0.68,292,118,92738.56,103874.97,27
169,LifePoint Health 2,obstetrics/gynecology,42.135885,-83.833209,mi,wayne,Wayne,4,3,0.66,487,114,50897.4,177071.19,11
170,Prime Healthcare 2,pediatrics,42.171099,-83.286422,mi,kalamazoo,Kalamazoo,5,5,0.83,278,166,91317.9,176975.91,30
171,Prime Healthcare 2,pediatrics,42.170712,-84.454681,mi,kalamazoo,Kalamazoo,1,3,0.76,290,152,446226.45,20484.28,4
172,CommonSpirit Health 2,psychiatry,42.372566,-85.353123,mi,kalamazoo,Kalamazoo,3,4,0.66,404,198,412602.08,94556.71,20
173,CommonSpirit Health 2,psychiatry,42.410514,-85.850441,mi,kalamazoo,Kalamazoo,4,4,0.76,286,160,414729.32,24624.31,20
174,CommonSpirit Health 2,psychiatry,42.428564,-85.253351,mi,kalamazoo,Kalamazoo,3,2,0.87,450,27,314255.0,73713.11,4
175,CommonSpirit Health 2,psychiatry,42.3644,-84.426338,mi,kalamazoo,Kalamazoo,3,3,0.52,390,20,62108.43,66409.32,27
176,CommonSpirit Health 2,psychiatry,42.16153,-84.244272,mi,kalamazoo,Kalamazoo,4,4,1.0,256,91,47768.23,71374.12,24
177,Bon Secours Mercy Health 2,orthopedic surgery,42.210735,-86.818716,mi,kalamazoo,Kalamazoo,3,1,0.65,311,146,452767.84,50388.81,8
178,Bon Secours Mercy Health 2,obstetrics/gynecology,42.395208,-83.33545,mi,kalamazoo,Kalamazoo,3,1,0.94,228,155,92849.72,81003.08,45
179,Bon Secours Mercy Health 2,obstetrics/gynecology,42.466062,-85.180572,mi,kalamazoo,Kalamazoo,3,3,0.99,343,88,18820.04,87181.59,13
180,Bon Secours Mercy Health 2,obstetrics/gynecology,42.266721,-84.367473,mi,kalamazoo,Kalamazoo,1,3,0.99,396,174,352664.53,168694.88,44
181,Bon Secours Mercy Health 2,obstetrics/gynecology,42.433299,-85.790133,mi,kalamazoo,Kalamazoo,3,4,0.56,431,185,274942.25,23824.22,29
182,Beaumont Health 3,family medicine,42.512876,-84.120042,mi,oakland,Oakland,1,3,0.54,498,191,367820.61,121767.62,3
183,Beaumont Health 3,family medicine,42.320284,-85.15974,mi,oakland,Oakland,5,1,0.64,277,39,141210.57,158886.37,20
184,Beaumont Health 3,family medicine,42.389932,-83.195905,mi,oakland,Oakland,5,3,0.74,210,193,25996.38,174367.54,33
185,Beaumont Health 3,endocrinology,42.528437,-81.748431,mi,oakland,Oakland,4,4,0.73,24,109,176999.69,37140.81,21
186,Beaumont Health 3,family medicine,42.741842,-81.277628,mi,oakland,Oakland,1,5,0.82,320,96,61070.15,79979.71,44
187,Corewell Health 3,orthopedic surgery,42.213635,-83.134991,mi,wayne,Wayne,2,3,0.87,266,76,320710.98,18831.78,24
188,Corewell Health 3,orthopedic surgery,42.434062,-86.561626,mi,oakland,Oakland,2,3,0.57,389,110,486051.02,69612.67,48
189,Corewell Health 3,orthopedic surgery,42.217805,-85.21009,mi,wayne,Wayne,5,4,0.6,150,193,12697.84,6494.49,7
190,Corewell Health 3,orthopedic surgery,42.077255,-82.186832,mi,wayne,Wayne,5,5,0.79,327,110,153809.52,186691.98,8
191,Corewell Health 3,orthopedic surgery,42.427458,-85.862935,mi,kalamazoo,Kalamazoo,5,3,0.94,192,45,24537.43,136706.94,45
192,Spectrum Health 3,psychiatry,42.193739,-87.270572,mi,kalamazoo,Kalamazoo,3,4,0.94,454,113,307873.55,65327.68,44
193,Spectrum Health 3,psychiatry,42.403179,-84.370502,mi,kalamazoo,Kalamazoo,5,1,0.8,347,150,66098.94,79848.58,35
194,Spectrum Health 3,psychiatry,42.166778,-85.460322,mi,kalamazoo,Kalamazoo,4,1,0.54,387,147,377426.87,85471.69,28
195,Spectrum Health 3,internal medicine,42.13644,-82.883601,mi,kalamazoo,Kalamazoo,5,2,0.75,60,122,66711.43,35092.71,2
196,Spectrum Health 3,psychiatry,42.208134,-84.457745,mi,kalamazoo,Kalamazoo,5,3,0.77,305,6,15736.24,87296.68,34
197,Spectrum Health 3,internal medicine,42.174607,-85.154316,mi,kalamazoo,Kalamazoo,2,5,0.56,58,131,178152.0,147188.83,37
198,Henry Ford Health 3,pediatrics,42.457191,-85.503094,mi,kalamazoo,Kalamazoo,5,1,0.65,131,34,228745.56,160684.17,2
199,Henry Ford Health 3,obstetrics/gynecology,42.227104,-84.28978,mi,oakland,Oakland,3,1,0.51,389,165,267648.17,104777.87,27
200,Henry Ford Health 3,internal medicine,42.439367,-83.055883,mi,oakland,Oakland,1,4,0.67,211,192,195666.04,6308.53,46
201,Henry Ford Health 3,internal medicine,42.565464,-81.260487,mi,oakland,Oakland,5,2,0.92,449,69,61577.0,37635.15,49
202,Henry Ford Health 3,obstetrics/gynecology,42.332788,-83.103486,mi,oakland,Oakland,3,3,0.69,243,55,21442.53,152461.65,14
203,Henry Ford Health 3,internal medicine,42.584138,-83.69322,mi,oakland,Oakland,5,2,0.69,44,91,227622.58,198997.3,8
204,Providence Health 3,obstetrics/gynecology,42.330285,-86.166878,mi,kalamazoo,Kalamazoo,4,1,0.69,287,72,490253.41,98186.3,12
205,Providence Health 3,general practice,42.072564,-84.364758,mi,wayne,Wayne,3,3,0.65,425,113,105365.68,16241.28,45
206,Providence Health 3,general practice,42.003105,-83.878135,mi,kalamazoo,Kalamazoo,5,3,0.58,363,143,111581.41,157565.72,34
